location,count
三亚,44
上海,31524
上海-嘉定区,2674
上海-崇明区,5
上海-杨浦区,6096
上海-虹口区,7325
上海-金山区,305
上海-闵行区,8841
上海-青浦区,1613
东莞-万江区,115
东莞-东城区,354
东莞-企石镇,3
东莞-大岭山镇,110
东莞-松山湖区,460
东莞-横沥镇,13
东莞-沙田镇,11
东莞-石碣镇,9
东莞-麻涌镇,16
中山,554
临汾,8
丹东,44
乌兰察布,3
云浮,29
佛山-三水区,8
佛山-南海区,249
佛山-禅城区,152
保山,1
信阳,8
六安,64
兰州,180
兴安盟,3
包头,8
北京-延庆区,27
北京-朝阳区,13392
北京-通州区,520
北海,25
南京-江宁区,1284
南京-鼓楼区,648
南平,15
南昌-南昌县,4
南昌-青云谱区,31
南通,451
台湾,3
合肥,4649
合肥-北城新区,15
合肥-巢湖市,13
合肥-庐江县,1
合肥-庐阳区,469
合肥-新站区,115
合肥-经开区,483
合肥-长丰县,8
呼伦贝尔,4
咸阳,10
哈尔滨-南岗区,677
哈尔滨-延寿县,1
哈尔滨-道外区,68
哈尔滨-阿城区,1
嘉兴,739
四平,6
大理,3
大连,3126
大连-西岗区,182
天津-东丽区,344
天津-北辰区,86
天津-宝坻区,11
天门,4
太原,236
威海,103
娄底,4
宁波-北仑区,247
宁波-慈溪市,240
宁波-海曙区,484
宁波-象山县,10
宁波-镇海区,196
安康,5
宜昌,122
宝鸡,8
宣城,9
岳阳,33
常州-新北区,53
常州-溧阳市,4
广东省,320
广州-番禺区,3590
廊坊,75
延吉,13
延安,12
开平,5
张掖,4
成都,1967
成都-新都区,40
成都-青白江区,29
抚顺,6
新余,9
无锡-惠山区,258
无锡-梁溪区,613
无锡-锡山区,200
昆山,1936
昆明-官渡区,579
未知,5
本溪,14
杭州-富阳区,16
杭州-拱墅区,1232
杭州-江干区,1262
杭州-淳安县,2
柳州,125
桂林,93
梧州,8
楚雄,1
榆林,12
武汉-东湖新技术产业开发区,458
武汉-武汉经济开发区,38
武汉-江汉区,632
武汉-洪山区,6010
武汉-青山区,101
毕节,16
汉中,16
汕头,108
江苏省,194
沈阳,2244
沈阳-沈北新区,71
沈阳-皇姑区,175
沈阳-铁西区,372
河北省,23
河源,28
洛阳,60
济南-历下区,656
济南-历城区,231
济南-平阴县,1
济南-槐荫区,169
浙江省,122
海南省,5
海口,325
海宁,84
淄博,72
淮南,29
深圳-光明新区,669
深圳-南山区,26728
深圳-盐田区,230
深圳-龙岗区,8321
清远,61
温州,388
渭南,20
湖南省,118
湖州,58
湘潭,50
漯河,8
潍坊,209
澄迈,1
濮阳,5
烟台,118
焦作,51
玉溪,2
珠海-横琴新区,8
珠海-金湾区,6
甘肃省,17
白山,13
白银,8
盐城,115
福州-福清市,23
福州-长乐市,17
福州-马尾区,142
红河州,4
绥化,15
苏州,7566
苏州-吴中区,924
莆田,72
襄阳,63
西宁,58
西安-雁塔区,719
西藏,17
贺州,1
通辽,7
遂宁,12
遵义,34
邵阳,9
郑州-中原区,380
郑州-二七区,831
郑州-惠济区,78
郑州-新密市,3
郑州-管城回族区,309
郴州,64
重庆-南岸区,694
重庆-大足区,27
重庆-忠县,1
重庆-武隆区,3
重庆-永川区,69
重庆-江津区,50
重庆-渝北区,2759
重庆-潼南区,4
重庆-綦江区,22
重庆-荣昌区,17
重庆-酉阳县,1
重庆-长寿区,17
锡林郭勒盟,19
锦州,12
长春,917
长春-宽城区,31
长春-朝阳区,188
长春-绿园区,86
长沙-长沙县,365
长沙-雨花区,1230
长治,12
阜阳,11
阿克苏,4
雄安新区,2
青岛-崂山区,748
青岛-市南区,1120
青岛-李沧区,178
青岛-胶州市,56
青岛-莱西市,6
青岛-黄岛区,528
香港,49
驻马店,10
鹰潭,11
黄冈,20
黄山,4
三明,17
上海-奉贤区,633
上海-宝山区,2627
上海-徐汇区,14048
上海-普陀区,6164
上海-长宁区,6300
上海-黄浦区,5638
上饶,54
东莞,3720
东莞-南城区,1103
东莞-厚街镇,100
东莞-大朗镇,67
东莞-常平镇,94
东莞-桥头镇,39
东莞-洪梅镇,7
东莞-石排镇,14
东莞-莞城区,189
东莞-虎门镇,237
东莞-黄江镇,42
东营,17
临沂,86
丽水,73
义乌,248
乌鲁木齐,145
九江,30
亳州,6
佛山-顺德区,462
佛山-高明区,12
佳木斯,14
保定,317
克拉玛依,8
北京,16693
北京-丰台区,1839
北京-密云区,16
北京-平谷区,14
北京-房山区,159
北京-昌平区,1628
北京-门头沟区,29
北京-顺义区,523
十堰,8
南京-溧水区,10
南京-玄武区,597
南京-秦淮区,923
南京-雨花台区,1621
南京-高淳区,5
南充,8
南昌,627
南昌-新建区,3
南昌-西湖区,31
南阳,11
双鸭山,7
台州,124
合肥-滨湖新区,257
合肥-瑶海区,329
合肥-肥西县,27
吉林,104
吉林省,26
咸宁,5
哈尔滨,1323
哈尔滨-呼兰区,5
哈尔滨-方正县,1
哈尔滨-松北区,200
哈尔滨-道里区,124
商丘,49
嘉峪关,4
四川省,44
大同,10
大庆,12
大连-中山区,682
大连-庄河市,3
大连-旅顺口区,14
大连-普兰店区,38
大连-瓦房店市,3
天水,8
天津-宁河区,4
天津-河西区,329
天津-红桥区,79
天津-西青区,544
宁波,3536
宁波-余姚市,118
宁波-江北区,233
安徽省,89
定西,4
宜春,39
山西省,5
常州-天宁区,12
常州-武进区,84
常州-金坛区,7
常德,22
常熟,240
平凉,4
平顶山,16
广安,10
广州,9453
广州-从化,22
广州-南沙区,291
广州-增城,293
广州-天河区,14926
广州-海珠区,2675
广州-白云区,2039
广州-花都区,381
广西,15
开封,15
张家口,12
张家港,286
张家界,5
徐州,244
德宏,1
德州,16
德阳,52
恩施,7
惠州,743
成都-武侯区,674
成都-温江区,100
成都-郫都区,77
成都-金牛区,254
成都-青羊区,220
成都-高新区,1568
成都-龙泉驿区,25
扬州,210
承德,17
新乡,33
无锡-无锡新区,979
无锡-江阴市,271
昆明,2682
昆明-呈贡区,107
昆明-嵩明县,1
昆明-盘龙区,429
昆明-石林彝族自治县,1
昆明-禄劝县,1
晋城,4
曲靖,20
杭州,5757
杭州-上城区,286
杭州-临安区,22
杭州-余杭区,1428
杭州-建德市,6
杭州-萧山区,369
杭州-西湖区,3187
株洲,202
武汉-新洲区,3
武汉-汉阳区,349
武汉-江夏区,850
武汉-蔡甸区,38
武汉-黄陂区,36
永州,5
汕尾,11
江门,505
沈阳-康平县,3
沈阳-法库县,1
沧州,65
河南省,85
泰兴,5
泸州,87
济南-商河县,2
济南-天桥区,192
济南-章丘区,11
济南-高新区,1483
济宁,54
淮安,91
深圳,19030
深圳-坪山区,463
深圳-宝安区,8024
深圳-福田区,13243
深圳-罗湖区,3511
湛江,47
潮州,21
澳门,27
玉林,28
珠海-珠海保税区,4
珠海-高栏港经济区,10
百色,9
益阳,11
盘锦,12
石家庄,486
福州-仓山区,857
福州-平潭县,2
福州-晋安区,290
福州-罗源县,1
秦皇岛,58
绵阳,209
肇庆,138
芜湖,158
苏州-高新区,1564
茂名,56
萍乡,1
营口,21
葫芦岛,12
衡阳,147
西安-国家民用航天产业基地,22
西安-新城区,64
西安-经济技术开发区,106
西安-长安区,51
西安-高陵区,6
许昌,9
贵州省,27
贵阳,239
资阳,8
辽宁省,69
辽阳,6
通化,1
邢台,81
郑州,3958
郑州-上街区,64
郑州-中牟县,12
郑州-新郑市,30
郑州-登封市,1
郑州-荥阳市,9
郑州-郑州航空港区,20
郑州-金水区,1307
酒泉,32
重庆,2534
重庆-合川区,23
重庆-大渡口区,69
重庆-涪陵区,19
重庆-璧山区,25
金华,141
钦州,12
铜陵,15
长春-二道区,47
长春-净月经济开发区,163
长春-双阳区,7
长春-汽车产业开发区,25
长沙-天心区,650
长沙-宁乡县,15
长沙-岳麓区,3007
长沙-浏阳市,23
阜新,1
阳江,44
随州,8
雅安,28
靖江,16
鞍山,51
韶关,75
鹤壁,20
黄石,42
黔西南,4
三门峡,49
上海-松江区,2868
上海-浦东新区,27607
上海-静安区,7652
东莞-东坑镇,49
东莞-中堂镇,8
东莞-凤岗镇,134
东莞-塘厦镇,70
东莞-寮步镇,71
东莞-望牛墩镇,7
东莞-樟木头镇,31
东莞-清溪镇,85
东莞-石龙镇,21
东莞-茶山镇,19
东莞-长安镇,226
丹阳,16
丽江,9
乐山,6
云南省,73
佛山,1579
六盘水,4
内江,4
北京-东城区,1821
北京-大兴区,1686
北京-怀柔区,13
北京-海淀区,17577
北京-石景山区,805
北京-西城区,1962
南京,4239
南京-六合区,31
南京-建邺区,1000
南京-栖霞区,303
南京-浦口区,460
南宁,743
南昌-东湖区,10
南昌-红谷滩新区,26
南昌-青山湖区,138
厦门,947
合肥-包河区,375
合肥-政务区,554
合肥-肥东县,16
合肥-蜀山区,1717
合肥-高新区,1477
吉安,15
周口,5
呼和浩特,82
哈尔滨-平房区,40
哈尔滨-香坊区,91
唐山,103
商洛,4
国外,5215
大连-大连保税区,19
大连-沙河口区,1309
大连-甘井子区,358
大连-金州区,284
大连-高新园区,2689
天津,1547
天津-南开区,1012
天津-和平区,384
天津-武清区,101
天津-河东区,206
天津-河北区,55
天津-津南区,49
天津-滨海新区,761
天津-蓟州区,3
天津-静海区,24
太仓,156
孝感,22
宁夏,4
宁德,32
宁波-奉化区,31
宁波-宁海县,36
宁波-鄞州区,2088
宁波-高新区,320
安庆,7
安阳,23
宜宾,4
宿州,16
宿迁,49
山东省,105
崇左,4
巴音郭楞,16
常州,689
常州-钟楼区,42
广元,4
广州-荔湾区,923
广州-越秀区,2801
广州-黄埔区,2802
庆阳,4
怀化,26
成都-双流区,151
成都-大邑县,4
成都-崇州市,4
成都-成华区,127
成都-新津县,4
成都-锦江区,208
抚州,8
拉萨,52
揭阳,25
文山,1
新疆,26
无锡,4931
无锡-宜兴市,45
无锡-滨湖区,698
日照,24
昆明-五华区,596
昆明-安宁市,14
昆明-晋宁区,4
昆明-西山区,372
晋中,4
景德镇,4
朔州,3
朝阳,1
杭州-下城区,532
杭州-桐庐县,14
杭州-滨江区,3103
松原,5
枣庄,18
梅州,60
武威,8
武汉,4812
武汉-东西湖区,275
武汉-武昌区,1348
武汉-江岸区,215
江西省,31
池州,8
沈阳-于洪区,70
沈阳-和平区,901
沈阳-大东区,209
沈阳-新民市,2
沈阳-沈河区,806
沈阳-浑南区,954
沈阳-苏家屯区,9
泉州,252
泰安,26
泰州,53
济南,2674
济南-市中区,419
济南-济阳县,23
济南-长清区,30
济源,1
淮北,9
深圳-大鹏新区,65
深圳-龙华新区,7872
湖北省,46
湘西,2
滁州,34
滨州,6
漳州,14
燕郊开发区,77
牡丹江,4
珠海,1080
珠海-珠海高新区,34
珠海-香洲区,186
眉山,8
福州,3889
福州-台江区,422
福州-永泰县,1
福州-连江县,6
福州-闽侯县,228
福州-鼓楼区,1335
福建省,56
绍兴,360
聊城,13
自贡,4
舟山,15
苏州-吴江区,618
苏州-姑苏区,795
苏州-工业园区,5748
苏州-相城区,489
荆州,10
荆门,42
莱芜,9
菏泽,2
蚌埠,24
衡水,16
衢州,24
西双版纳,3
西安,2640
西安-曲江文化新区,88
西安-未央区,234
西安-灞桥区,11
西安-碑林区,249
西安-莲湖区,73
西安-西咸新区,19
西安-高新技术产业开发区,1791
赣州,75
赤峰,4
达州,17
连云港,72
邯郸,49
郑州-经开区,269
郑州-郑东新区,818
郑州-高新区,1024
鄂尔多斯,20
鄂州,1
重庆-万州区,44
重庆-丰都县,10
重庆-九龙坡区,805
重庆-北碚区,117
重庆-南川区,9
重庆-垫江县,7
重庆-巴南区,93
重庆-开州区,5
重庆-梁平区,3
重庆-江北区,991
重庆-沙坪坝区,489
重庆-渝中区,1108
重庆-铜梁区,13
金昌,4
铁岭,4
铜仁,4
银川,64
镇江,438
长春-九台区,5
长春-南关区,193
长春-经济技术开发区,87
长春-高新技术产业开发区,181
长沙,5141
长沙-开福区,865
长沙-望城区,78
长沙-芙蓉区,916
阳泉,4
陕西省,195
青岛,1729
青岛-即墨区,146
青岛-城阳区,692
青岛-市北区,840
青岛-平度市,11
青海省,5
马鞍山,119
黑河,1
黑龙江省,12
黔东南,8
黔南,1
齐齐哈尔,29
龙岩,25
